state,gender,year,name,number,created_date
AK,F,1910,Dorothy,5,11/28/2016
AK,F,1910,Lucy,6,11/28/2016
AK,M,1910,George,5,11/28/2016
AK,M,1910,Paul,6,11/28/2016
AK,M,1910,William,5,11/28/2016
AK,F,1910,Anna,10,11/28/2016
AK,F,1910,Mary,14,11/28/2016
AK,F,1910,Helen,7,11/28/2016
AK,M,1910,James,7,11/28/2016
AK,M,1910,Carl,5,11/28/2016
AK,M,1910,Edward,5,11/28/2016
AK,F,1910,Elsie,6,11/28/2016
AK,F,1910,Margaret,8,11/28/2016
AK,M,1910,John,8,11/28/2016
AK,M,1910,Robert,6,11/28/2016
AK,F,1910,Annie,12,11/28/2016
AL,M,1910,Solomon,6,11/28/2016
AL,M,1910,Eli,5,11/28/2016
AL,F,1910,Viola,78,11/28/2016
AL,F,1910,Katherine,36,11/28/2016
AL,F,1910,Barbara,6,11/28/2016
AL,F,1910,Melba,6,11/28/2016
AL,F,1910,Lovie,5,11/28/2016
AL,F,1910,Sarah,107,11/28/2016
AL,F,1910,Josie,35,11/28/2016
AL,F,1910,Jannie,14,11/28/2016
AL,F,1910,Willa,10,11/28/2016
AL,M,1910,William,343,11/28/2016
AL,M,1910,Walter,92,11/28/2016
AL,M,1910,Elbert,14,11/28/2016
AL,M,1910,Sandy,9,11/28/2016
AL,M,1910,Wilbert,7,11/28/2016
AL,M,1910,Charlie,113,11/28/2016
AL,M,1910,Sam,77,11/28/2016
AL,M,1910,Rufus,33,11/28/2016
AL,M,1910,Ellis,13,11/28/2016
AL,M,1910,Martin,6,11/28/2016
AL,F,1910,Ethel,197,11/28/2016
AL,F,1910,Lou,12,11/28/2016
AL,F,1910,Rosetta,12,11/28/2016
AL,F,1910,Arlene,6,11/28/2016
AL,F,1910,Georgie,6,11/28/2016
AL,F,1910,Emma,145,11/28/2016
AL,F,1910,Fannie,116,11/28/2016
AL,F,1910,Nina,11,11/28/2016
AL,F,1910,Charlotte,9,11/28/2016
AL,M,1910,Bennie,21,11/28/2016
AL,M,1910,Ollie,12,11/28/2016
AL,M,1910,Judge,7,11/28/2016
AL,M,1910,Phillip,5,11/28/2016
AL,M,1910,Clifford,13,11/28/2016
AL,M,1910,Tony,8,11/28/2016
AL,F,1910,Gladys,125,11/28/2016
AL,F,1910,Lucy,76,11/28/2016
AL,F,1910,Anna,74,11/28/2016
AL,F,1910,Ila,24,11/28/2016
AL,F,1910,Elnora,22,11/28/2016
AL,F,1910,Lottie,22,11/28/2016
AL,F,1910,Juanita,19,11/28/2016
AL,F,1910,Lera,5,11/28/2016
AL,M,1910,Marion,6,11/28/2016
AL,M,1910,Tom,47,11/28/2016
AL,M,1910,Louis,40,11/28/2016
AL,M,1910,Ben,39,11/28/2016
AL,M,1910,Milton,19,11/28/2016
AL,M,1910,Allen,17,11/28/2016
AL,M,1910,Nelson,10,11/28/2016
AL,M,1910,Cleve,7,11/28/2016
AL,F,1910,Alice,112,11/28/2016
AL,F,1910,Rebecca,35,11/28/2016
AL,F,1910,Clarice,9,11/28/2016
AL,F,1910,Ruby,204,11/28/2016
AL,F,1910,Claudia,9,11/28/2016
AL,F,1910,Ira,9,11/28/2016
AL,F,1910,Odell,7,11/28/2016
AL,M,1910,Thomas,87,11/28/2016
AL,M,1910,Percy,19,11/28/2016
AL,M,1910,Johnie,17,11/28/2016
AL,F,1910,Minnie,139,11/28/2016
AL,F,1910,Catherine,37,11/28/2016
AL,F,1910,Alpha,7,11/28/2016
AL,F,1910,Maud,7,11/28/2016
AL,F,1910,Lessie,25,11/28/2016
AL,F,1910,Leila,13,11/28/2016
AL,M,1910,Clifton,10,11/28/2016
AL,M,1910,Ned,8,11/28/2016
AL,M,1910,Oscar,33,11/28/2016
AL,M,1910,Lonnie,19,11/28/2016
AL,M,1910,Tommy,7,11/28/2016
AL,M,1910,Reuben,5,11/28/2016
AL,F,1910,Winnie,23,11/28/2016
AL,F,1910,Cleo,18,11/28/2016
AL,F,1910,Augusta,12,11/28/2016
AL,F,1910,Matilda,9,11/28/2016
AL,F,1910,Cecil,5,11/28/2016
AL,M,1910,Andrew,39,11/28/2016
AL,M,1910,Dan,16,11/28/2016
AL,M,1910,Morris,16,11/28/2016
AL,M,1910,Booker,14,11/28/2016
AL,M,1910,Ruben,7,11/28/2016
AL,M,1910,Willie,343,11/28/2016
AL,M,1910,Paul,33,11/28/2016
AL,M,1910,Roosevelt,21,11/28/2016
AL,M,1910,Leonard,16,11/28/2016
AL,M,1910,Lester,13,11/28/2016
AL,M,1910,Manuel,7,11/28/2016
AL,M,1910,Cliff,5,11/28/2016
AL,F,1910,Maggie,91,11/28/2016
AL,F,1910,May,13,11/28/2016
AL,F,1910,Ina,12,11/28/2016
AL,F,1910,Clara,97,11/28/2016
AL,F,1910,Callie,28,11/28/2016
AL,F,1910,Corinne,6,11/28/2016
AL,M,1910,Jimmie,36,11/28/2016
AL,M,1910,Marshall,8,11/28/2016
AL,M,1910,Alex,20,11/28/2016
AL,M,1910,Amos,11,11/28/2016
AL,M,1910,Preston,8,11/28/2016
AL,M,1910,Peter,7,11/28/2016
AL,F,1910,Carolyn,16,11/28/2016
AL,F,1910,Emmie,12,11/28/2016
AL,F,1910,Blanch,5,11/28/2016
AL,F,1910,Jessie,108,11/28/2016
AL,F,1910,Georgia,58,11/28/2016
AL,F,1910,Gertie,8,11/28/2016
AL,M,1910,Claude,24,11/28/2016
AL,M,1910,Harvey,16,11/28/2016
AL,M,1910,Loyd,8,11/28/2016
AL,M,1910,Charles,98,11/28/2016
AL,M,1910,Eugene,46,11/28/2016
AL,M,1910,Jesse,38,11/28/2016
AL,M,1910,Vernon,7,11/28/2016
AL,F,1910,Myrtie,9,11/28/2016
AL,F,1910,Cassie,8,11/28/2016
AL,F,1910,Arrie,7,11/28/2016
AL,F,1910,Marie,104,11/28/2016
AL,F,1910,Lola,30,11/28/2016
AL,F,1910,Eloise,16,11/28/2016
AL,F,1910,Lenora,7,11/28/2016
AL,M,1910,Clyde,17,11/28/2016
AL,F,1910,Thelma,65,11/28/2016
AL,F,1910,Polly,10,11/28/2016
AL,F,1910,Faye,5,11/28/2016
AL,F,1910,Willie,257,11/28/2016
AL,F,1910,Edna,86,11/28/2016
AL,F,1910,Frances,81,11/28/2016
AL,F,1910,Maude,24,11/28/2016
AL,F,1910,Iola,10,11/28/2016
AL,F,1910,Marjorie,9,11/28/2016
AL,F,1910,Artie,6,11/28/2016
AL,M,1910,Chester,16,11/28/2016
AL,M,1910,Steve,6,11/28/2016
AL,M,1910,Arthur,55,11/28/2016
AL,M,1910,Johnnie,43,11/28/2016
AL,M,1910,Luke,5,11/28/2016
AL,M,1910,Phil,5,11/28/2016
AL,F,1910,Geneva,29,11/28/2016
AL,F,1910,Corine,17,11/28/2016
AL,F,1910,Zelma,7,11/28/2016
AL,F,1910,Gertrude,97,11/28/2016
AL,F,1910,Lela,32,11/28/2016
AL,F,1910,Jane,10,11/28/2016
AL,F,1910,Oma,9,11/28/2016
AL,M,1910,George,194,11/28/2016
AL,M,1910,Jerry,12,11/28/2016
AL,M,1910,Charley,10,11/28/2016
AL,M,1910,Anthony,5,11/28/2016
AL,M,1910,Joseph,92,11/28/2016
AL,M,1910,Albert,57,11/28/2016
AL,M,1910,Jim,43,11/28/2016
AL,M,1910,Curtis,27,11/28/2016
AL,M,1910,Oliver,19,11/28/2016
AL,M,1910,Wallace,8,11/28/2016
AL,F,1910,Alma,82,11/28/2016
AL,F,1910,Vivian,22,11/28/2016
AL,F,1910,Lee,12,11/28/2016
AL,F,1910,Patricia,7,11/28/2016
AL,F,1910,Maurine,5,11/28/2016
AL,F,1910,Bama,9,11/28/2016
AL,M,1910,Samuel,42,11/28/2016
AL,M,1910,Cecil,24,11/28/2016
AL,M,1910,Emmett,23,11/28/2016
AL,M,1910,Spencer,7,11/28/2016
AL,M,1910,Bernard,8,11/28/2016
AL,M,1910,Nathan,8,11/28/2016
AL,F,1910,Flossie,27,11/28/2016
AL,F,1910,Jewell,31,11/28/2016
AL,F,1910,Luella,9,11/28/2016
AL,M,1910,Howard,54,11/28/2016
AL,M,1910,Dave,22,11/28/2016
AL,M,1910,Hugh,16,11/28/2016
AL,M,1910,Fletcher,10,11/28/2016
AL,M,1910,Odis,6,11/28/2016
AL,M,1910,Lorenzo,5,11/28/2016
AL,M,1910,Dennis,6,11/28/2016
AL,F,1910,Daisy,62,11/28/2016
AL,F,1910,Nancy,58,11/28/2016
AL,F,1910,Rena,18,11/28/2016
AL,F,1910,Genevieve,5,11/28/2016
AL,F,1910,Lucille,109,11/28/2016
AL,F,1910,Lena,61,11/28/2016
AL,F,1910,Mabel,37,11/28/2016
AL,F,1910,Maudie,21,11/28/2016
AL,F,1910,Olivia,9,11/28/2016
AL,F,1910,Camilla,6,11/28/2016
AL,F,1910,Gennie,6,11/28/2016
AL,M,1910,Nathaniel,27,11/28/2016
AL,M,1910,Theodore,21,11/28/2016
AL,M,1910,David,55,11/28/2016
AL,M,1910,Alfred,19,11/28/2016
AL,F,1910,Ella,91,11/28/2016
AL,F,1910,Lydia,11,11/28/2016
AL,F,1910,Frankie,7,11/28/2016
AL,F,1910,Dixie,6,11/28/2016
AL,F,1910,Nan,5,11/28/2016
AL,F,1910,Era,24,11/28/2016
AL,F,1910,Billie,10,11/28/2016
AL,M,1910,Mack,20,11/28/2016
AL,M,1910,Harold,11,11/28/2016
AL,M,1910,Moses,6,11/28/2016
AL,F,1910,Rose,49,11/28/2016
AL,F,1910,Estelle,43,11/28/2016
AL,F,1910,Mammie,6,11/28/2016
AL,F,1910,Nola,5,11/28/2016
AL,M,1910,Richard,73,11/28/2016
AL,M,1910,Leroy,34,11/28/2016
AL,M,1910,Jimmy,9,11/28/2016
AL,M,1910,Porter,7,11/28/2016
AL,M,1910,Dalton,5,11/28/2016
AL,M,1910,Hoyt,5,11/28/2016
AL,F,1910,Martha,113,11/28/2016
AL,F,1910,Eula,63,11/28/2016
AL,F,1910,Estella,21,11/28/2016
AL,F,1910,Erma,14,11/28/2016
AL,F,1910,Mary,875,11/28/2016
AL,F,1910,Rosalie,8,11/28/2016
AL,M,1910,Abraham,6,11/28/2016
AL,M,1910,Early,8,11/28/2016
AL,F,1910,Esther,38,11/28/2016
AL,F,1910,Trudie,7,11/28/2016
AL,F,1910,Pearl,105,11/28/2016
AL,F,1910,Susie,85,11/28/2016
AL,F,1910,Helen,76,11/28/2016
AL,F,1910,Opal,22,11/28/2016
AL,M,1910,Guy,11,11/28/2016
AL,F,1910,Bessie,162,11/28/2016
AL,F,1910,Essie,76,11/28/2016
AL,F,1910,Lizzie,57,11/28/2016
AL,F,1910,Claudie,15,11/28/2016
AL,F,1910,Ludie,7,11/28/2016
