insertId,jsonPayload.apiVersion,jsonPayload.eventTime,jsonPayload.involvedObject.apiVersion,jsonPayload.involvedObject.fieldPath,jsonPayload.involvedObject.kind,jsonPayload.involvedObject.name,jsonPayload.involvedObject.namespace,jsonPayload.involvedObject.resourceVersion,jsonPayload.involvedObject.uid,jsonPayload.kind,jsonPayload.message,jsonPayload.metadata.creationTimestamp,jsonPayload.metadata.managedFields,jsonPayload.metadata.name,jsonPayload.metadata.namespace,jsonPayload.metadata.resourceVersion,jsonPayload.metadata.selfLink,jsonPayload.metadata.uid,jsonPayload.reason,jsonPayload.reportingComponent,jsonPayload.reportingInstance,jsonPayload.source.component,jsonPayload.source.host,jsonPayload.type,logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp
p95089g8hhubdc,v1,,v1,spec.containers{metadata-agent},Pod,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kube-system,1164548,6fe9fc49-31e1-44bd-ac6f-cdd2c783f74d,Event,Started container metadata-agent,2021-05-06T10:23:37Z,[object Object],stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c733059aa3c50,kube-system,2565,/api/v1/namespaces/kube-system/events/stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c733059aa3c50,56c7bfbd-e156-464b-9803-b5f117309759,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:59Z
p95089g8hhubdb,v1,,v1,spec.containers{metadata-agent},Pod,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kube-system,1164548,6fe9fc49-31e1-44bd-ac6f-cdd2c783f74d,Event,Created container metadata-agent,2021-05-06T10:23:37Z,[object Object],stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c733052a9eaab,kube-system,2564,/api/v1/namespaces/kube-system/events/stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c733052a9eaab,af3215e8-8a7c-4747-8770-9491be2ddefd,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:59Z
p95089g8hhubda,v1,,v1,spec.containers{metadata-agent},Pod,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kube-system,1164548,6fe9fc49-31e1-44bd-ac6f-cdd2c783f74d,Event,"Container image ""gcr.io/stackdriver-agents/metadata-agent-go:1.2.0"" already present on machine",2021-05-06T10:24:59Z,[object Object],stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c73437c13ea0c,kube-system,2563,/api/v1/namespaces/kube-system/events/stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd.167c73437c13ea0c,9f4e452c-c681-4ba4-ac79-3c15c5f413fa,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,stackdriver-metadata-agent-cluster-level-795d6c5685-llzwd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:59Z
p95089g8hhubd9,v1,,v1,spec.containers{default-http-backend},Pod,l7-default-backend-7fd66b8b88-mkfsd,kube-system,1164535,65353bfa-cae5-452c-b7e1-f5abb962041b,Event,Started container default-http-backend,2021-05-06T10:24:59Z,[object Object],l7-default-backend-7fd66b8b88-mkfsd.167c7343776b4615,kube-system,2562,/api/v1/namespaces/kube-system/events/l7-default-backend-7fd66b8b88-mkfsd.167c7343776b4615,79bf5672-6ca0-4bbd-aba5-2970b36cf517,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,l7-default-backend-7fd66b8b88-mkfsd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:59Z
p95089g8hhubd8,v1,,v1,spec.containers{prometheus-to-sd},Pod,kube-dns-6465f78586-zfgvc,kube-system,1164579,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,Started container prometheus-to-sd,2021-05-06T10:24:13Z,[object Object],kube-dns-6465f78586-zfgvc.167c7338ce887443,kube-system,2561,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167c7338ce887443,dc9b9154-4db0-42b4-97af-b10c6d1f66de,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:13Z
p95089g8hhubd7,v1,,v1,spec.containers{prometheus-to-sd},Pod,kube-dns-6465f78586-zfgvc,kube-system,1164579,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,Created container prometheus-to-sd,2021-05-06T10:24:13Z,[object Object],kube-dns-6465f78586-zfgvc.167c7338b4dbb5dd,kube-system,2560,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167c7338b4dbb5dd,e104a374-d6e9-4e36-9cb2-4e030e21fc46,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:13Z
p95089g8hhubd6,v1,,v1,spec.containers{prometheus-to-sd},Pod,kube-dns-6465f78586-zfgvc,kube-system,1164579,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,"Successfully pulled image ""gke.gcr.io/prometheus-to-sd:v0.4.2""",2021-05-06T10:24:12Z,[object Object],kube-dns-6465f78586-zfgvc.167c733899fc53ca,kube-system,2559,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167c733899fc53ca,642c4cd4-ea05-4a7b-8d62-057371452ffd,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:12Z
p95089g8hhubd5,v1,,v1,spec.containers{default-http-backend},Pod,l7-default-backend-7fd66b8b88-mkfsd,kube-system,1164535,65353bfa-cae5-452c-b7e1-f5abb962041b,Event,Created container default-http-backend,2021-05-06T10:24:09Z,[object Object],l7-default-backend-7fd66b8b88-mkfsd.167c7337e854e063,kube-system,2558,/api/v1/namespaces/kube-system/events/l7-default-backend-7fd66b8b88-mkfsd.167c7337e854e063,79813af6-1e53-4ef9-a099-c96e64549efe,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,l7-default-backend-7fd66b8b88-mkfsd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:09Z
p95089g8hhubd4,v1,,v1,spec.containers{default-http-backend},Pod,l7-default-backend-7fd66b8b88-mkfsd,kube-system,1164535,65353bfa-cae5-452c-b7e1-f5abb962041b,Event,"Successfully pulled image ""k8s.gcr.io/ingress-gce-404-server-with-metrics-amd64:v1.6.0""",2021-05-06T10:24:09Z,[object Object],l7-default-backend-7fd66b8b88-mkfsd.167c7337dae29979,kube-system,2557,/api/v1/namespaces/kube-system/events/l7-default-backend-7fd66b8b88-mkfsd.167c7337dae29979,569e5698-70e9-46f0-a49f-406ea5e383bf,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,l7-default-backend-7fd66b8b88-mkfsd,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:09Z
p95089g8hhubd3,v1,,v1,spec.containers{prometheus-to-sd},Pod,kube-dns-6465f78586-zfgvc,kube-system,1164579,f34c03d2-a3b6-40f2-8b15-320d06f44ce0,Event,"Pulling image ""gke.gcr.io/prometheus-to-sd:v0.4.2""",2021-05-06T10:24:08Z,[object Object],kube-dns-6465f78586-zfgvc.167c733777ba2a51,kube-system,2556,/api/v1/namespaces/kube-system/events/kube-dns-6465f78586-zfgvc.167c733777ba2a51,69df629c-c7e9-4489-b693-1eb2fadab640,Pulling,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-05-06T10:25:12.783674861Z,nodecluster,asia-southeast1-a,kube-system,kube-dns-6465f78586-zfgvc,kubernetes-start-310009,k8s_pod,INFO,2021-05-06T10:24:08Z
